tax_account_connected,business_name,business_type,business_city,business_state,business_start_date,business_description,naics_code,fulltime_employees_count,fulltime_employees_annual_payroll,ever_filed_bankruptcy,bankruptcy_description,ongoing_lawsuits,lawsuits_description,is_only_owner,owners,annual_revenue_year_one,annual_revenue_year_two,annual_revenue_year_three,net_operating_income_year_one,net_operating_income_year_two,net_operating_income_year_three,has_no_debts,debts,has_no_credit_debts,credit_debts,business_ein,incorporation_city,incorporation_state,credit_check_consent,inquiry_id,user_id,organization_id,id,meta_status,created_at,updated_at,open_banking_connected,business_address,business_zip_code,business_phone_number,is_business_address_same_as_individual,is_business_phone_number_same_as_individual,position_at_business,percent_ownership,owner_roles
"t","Morar, Deckow and Wiza","LLC",,,,,"336350","477","2728418058","f",,"t","Voluptates quisquam sustineo patruus blandior subvenio nemo tum ancilla exercitationem. Admoveo ait tener. Decumbo sit thalassinus victoria supra capio tonsor decipio ventosus.","t",,"5456836116","4795834337","3414278337","628429212","552305829","393200785","t","[]","t","[]","123456789","Malloryboro","MT","t","d3332649-b660-47ff-a424-268eed4db856","i2e6d8g0o4gvx1ju5kg8x","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","3673cab5-1d5a-4952-bea3-47a4895d5aec","f","2025-10-10 20:30:58.841+00",,"f",,,,"f","f",,"53.07","{authorizedSigner,beneficialOwner,controlPerson}"
"t","Waters, Herman and Lindgren","Joint venture",,,,,"331529","65","376394428","f",,"t","Facere expedita arbitro curtus complectus ea timor terreo. Cubitum tripudio deinde altus valde terminatio amo. Autus astrum ratione id vindico casso.","t",,"752788855","593203068","721339748","100162771","78928989","95978292","f","[{""id"": ""d02d2d1a-c14d-4d90-af95-c88a579d501b"", ""name"": ""SBA 7(a) Loan - Capital Growth"", ""interestRate"": 4.370783247319778, ""originalDate"": ""2023-10-24T12:35:46.821Z"", ""currentBalance"": 31989662, ""monthlyPayment"": 782968, ""originalAmount"": 33540947, ""termOrMaturationDate"": ""2029-03-30T07:39:15.621Z""}, {""id"": ""da66a892-fb25-4698-aac0-efb0ee272676"", ""name"": ""SBA 504 Loan - Real Estate Financing"", ""interestRate"": 11.950766342078499, ""originalDate"": ""2016-12-12T06:56:26.128Z"", ""currentBalance"": 30078743, ""monthlyPayment"": 550210, ""originalAmount"": 38308550, ""termOrMaturationDate"": ""2028-09-10T19:16:49.709Z""}, {""id"": ""3407a2f5-6e43-4a98-a6f2-831543f6a8ea"", ""name"": ""Grainger Trade Credit (Net-60 Terms)"", ""interestRate"": 4.752863034922099, ""originalDate"": ""2020-09-20T17:50:11.438Z"", ""currentBalance"": 15818248, ""monthlyPayment"": 250964, ""originalAmount"": 19679959, ""termOrMaturationDate"": ""2028-09-16T01:02:55.855Z""}]","t","[]","123456789","Hicksville","IL","t","b26ec1ca-940c-4fa9-9c75-5c77294bd079","ur64lj8kfwunpiadmyn0r","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","6ba5b41d-6802-4281-898c-95c649f5dd61","f","2025-09-21 03:35:01.342+00",,"f",,,,"f","f",,"89.93","{authorizedSigner,beneficialOwner,controlPerson}"
"t","Stamm Group","Joint venture",,,,,"621399","308","1274604254","f",,"f",,"t",,"2549208508","2003623036","1817517251","682738481","536617756","486774214","f","[{""id"": ""12ac9077-d7cf-400a-a537-a80f2fd00de5"", ""name"": ""SBA 504 Loan - Real Estate Financing"", ""interestRate"": 4.461405670570492, ""originalDate"": ""2017-07-18T21:54:51.505Z"", ""currentBalance"": 5262486, ""monthlyPayment"": 107273, ""originalAmount"": 6796085, ""termOrMaturationDate"": ""2029-04-27T01:46:45.474Z""}]","f","[{""id"": ""17064541-5748-4ffb-a611-5a58e9b541ed"", ""name"": ""American Express Business Platinum Card"", ""balance"": 4131110}, {""id"": ""1b153f8e-2708-401e-92d0-c052b67b3d19"", ""name"": ""American Express Business Platinum Card"", ""balance"": 566068}]","123456789","East Aimeefield","UT","t","ec8fcbec-e5ad-4e40-8d61-20fa89ef3f98","3gvf0sv55ua0145cto7a4","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","fcd14d80-cdac-4dfe-a2df-e6f531308dc1","f","2025-10-10 02:11:28.037+00",,"f",,,,"f","f",,"91.18","{authorizedSigner,beneficialOwner,controlPerson}"
"t","Hoeger and Sons","C Corporation","Fort Consuelo","WA","2017-08-14 21:36:02.901+00","Eum varius solus conduco. Alo vito tempus voluptatum ambulo summa vis uredo tertius. Apostolus incidunt harum suppellex accusantium vindico deleo desipio vero contra.","481212","491","2549899498","f",,"f",,"t",,"5099798996","4998287882","5775784564","582781478","571181256","660029987","f","[{""id"": ""7e0b3272-4660-48bb-8d85-b51310987ad0"", ""name"": ""State Sales Tax Delinquency"", ""interestRate"": 4.629007366247683, ""originalDate"": ""2016-05-13T18:14:49.463Z"", ""currentBalance"": 1216616, ""monthlyPayment"": 21591, ""originalAmount"": 8186425, ""termOrMaturationDate"": ""2026-03-27T14:27:25.410Z""}, {""id"": ""d88f8691-fc51-4fcd-8a5e-336872f6789b"", ""name"": ""Fundbox Invoice Advance"", ""interestRate"": 3.4105740390632726, ""originalDate"": ""2018-07-17T07:43:51.351Z"", ""currentBalance"": 5874399, ""monthlyPayment"": 71088, ""originalAmount"": 12469017, ""termOrMaturationDate"": ""2027-08-24T22:46:02.556Z""}]","f","[{""id"": ""1344c0e8-f062-4bfc-a6a6-94a52e5b778f"", ""name"": ""Bank of America Business Advantage Credit Card"", ""balance"": 4617765}, {""id"": ""5bb012e2-90df-4a5b-a560-7b0f41f12761"", ""name"": ""American Express Business Platinum Card"", ""balance"": 3476161}, {""id"": ""42a3bbfb-e5dd-4330-8252-a786bd160186"", ""name"": ""American Express Business Platinum Card"", ""balance"": 3994855}, {""id"": ""c446f73b-5c04-4fda-8d1d-79579a1a3a62"", ""name"": ""Bank of America Business Advantage Credit Card"", ""balance"": 2198755}, {""id"": ""72f12281-fb41-4878-8160-f24b102d568c"", ""name"": ""Wells Fargo Business Elite Card"", ""balance"": 3033114}]","123456789","Lauderhill","SC","t","5fd6c877-f80b-49d4-8dcb-4c6b7d2668bd","79914gz6utl25wmfn82em","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","821f11d7-4b98-4e2c-9e14-07d3287ea1d1","t","2025-09-06 13:39:29.693+00",,"f","322 Church View","50991","+12746652010","f","f","Regional Directives Planner","25.15","{authorizedSigner,beneficialOwner,controlPerson}"
"f","Kunde, Hoeger and Schultz","S Corporation","South Maiacester","TN","2019-07-06 00:47:22.215+00","Undique advoco verumtamen illum valeo. Crepusculum corporis defessus. Demens mollitia ocer eligendi vehemens.","311340","187","701530874","t","Angustus crapula tergeo aedificium tenetur voluptates vir alius beatae balbus. Tribuo eveniet ab censura adaugeo canto. Appositus autem dolorem delinquo angustus cumque.","t","Non aequus ustilo. Stillicidium delibero laudantium tergeo sustineo alii voluptatem. Succedo trucido tabella aufero exercitationem depono curatio conscendo.","t",,"1403061748","1001844181","1112397955","330033552","235657621","261662503","f","[{""id"": ""a1d9c812-210f-43e1-bd42-421bdd861521"", ""name"": ""BlueVine Short-Term Business Loan"", ""interestRate"": 9.984165930657419, ""originalDate"": ""2022-01-16T18:49:37.730Z"", ""currentBalance"": 9804184, ""monthlyPayment"": 244975, ""originalAmount"": 12132653, ""termOrMaturationDate"": ""2027-12-08T11:07:12.439Z""}]","f","[{""id"": ""3f2022ed-69c8-4b8a-9e0b-d529a03adfd9"", ""name"": ""American Express Business Platinum Card"", ""balance"": 3864108}, {""id"": ""8c335edc-5ed9-4796-bd53-bfc52b7c9f0c"", ""name"": ""Brex Business Credit Card"", ""balance"": 1011607}, {""id"": ""36fe8e65-1847-4ca8-96b6-1d1b0c66ea7d"", ""name"": ""Brex Business Credit Card"", ""balance"": 1483068}]","123456789","Lesleyhaven","IN","t","72c8931d-6ac9-4e8a-9d3f-758aa5d44525","f9zpmr9btvxg7pta309nb","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","a8a18cdd-6cb9-4a7f-a6b8-7330d27f83af","t","2025-09-06 00:21:38.316+00",,"f","159 Mosciski Ports","29195","+14117586320","f","f","Customer Assurance Specialist","66.25","{authorizedSigner,beneficialOwner,controlPerson}"
"t","Boehm, Murray and Keebler","Joint venture","Jaskolskiberg","MS","2019-09-13 19:39:59.657+00","Decipio sponte cupiditate strues eveniet validus volaticus depereo. Volutabrum acervus accedo patria amita toties terra vir consectetur. Repellendus cresco attero dedecor demergo peccatus alienus apud validus audeo.","532112","347","2189385743","t","Ustilo ubi eos addo censura placeat. Volva deduco alo. Beneficium damnatio tutamen sulum corpus.","f",,"t",,"5836093411","5901235839","6027843556","1219836025","1233451825","1259914845","f","[{""id"": ""e0164c9a-4e2e-4e7a-b68e-1839f6530d78"", ""name"": ""CNH Industrial Equipment Financing"", ""interestRate"": 9.462871223031044, ""originalDate"": ""2018-10-26T05:05:57.768Z"", ""currentBalance"": 12976991, ""monthlyPayment"": 643041, ""originalAmount"": 29873566, ""termOrMaturationDate"": ""2026-03-21T08:46:08.167Z""}, {""id"": ""7d5763a8-b414-4117-aed4-3b21f408e35d"", ""name"": ""GE Capital Fleet Vehicle Lease"", ""interestRate"": 4.044868876650117, ""originalDate"": ""2020-02-15T08:45:31.652Z"", ""currentBalance"": 31777675, ""monthlyPayment"": 1431184, ""originalAmount"": 42933485, ""termOrMaturationDate"": ""2026-08-23T22:23:22.337Z""}, {""id"": ""b219e57b-3b52-4372-9b38-6fc9d497de83"", ""name"": ""SBA 504 Loan - Real Estate Financing"", ""interestRate"": 7.171007048829107, ""originalDate"": ""2016-09-11T23:32:50.988Z"", ""currentBalance"": 7995363, ""monthlyPayment"": 181035, ""originalAmount"": 9668317, ""termOrMaturationDate"": ""2028-12-05T19:53:56.024Z""}]","f","[{""id"": ""431affe7-855c-4403-b791-64c54f845c3c"", ""name"": ""CitiBusiness AAdvantage Platinum Card"", ""balance"": 4282023}]","123456789","Justentown","IL","t","51a94ed1-9581-4731-a4e8-0e2daf6c996f","5t5h4mg6bb10jd1c0ff23","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","787653fa-dc95-4fc1-9518-d6764a5c4c87","t","2025-08-20 05:46:42.271+00",,"f","20501 Elmo Spur","85299","+13279039486","f","f","Future Creative Producer","86.73","{authorizedSigner,beneficialOwner,controlPerson}"
"f","Murphy - Grimes","Sole proprietorship",,,,,"332992","400","1550911400","f",,"f",,"t",,"3101822800","4024456891","4096432464","1091840173","1416606941","1441942309","t","[]","f","[{""id"": ""7048e7e4-74ee-4130-b37b-d4de74a4a812"", ""name"": ""Wells Fargo Business Elite Card"", ""balance"": 2526391}, {""id"": ""77d9b5b6-d953-43ab-ace7-5999a35e3ac0"", ""name"": ""Chase Ink Business Credit Card"", ""balance"": 2563073}, {""id"": ""096b9743-2c20-49b0-8ef9-2820a86c1b6c"", ""name"": ""Bank of America Business Advantage Credit Card"", ""balance"": 4690306}, {""id"": ""0a750ea6-edb6-4705-b7a3-a6701d664fb8"", ""name"": ""Capital One Spark Business Credit Card"", ""balance"": 593844}]","123456789","West Roderick","SD","t","9a842d92-e55b-4f48-a104-ced56321d711","tkkt8p9cbvmz75i0g7tfa","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","fa24b8da-c9a3-440d-9001-9e6cbcb57402","f","2025-10-04 08:57:49.873+00",,"f",,,,"f","f",,"42.34","{authorizedSigner,beneficialOwner,controlPerson}"
"t","Windler, McLaughlin and Grimes","Joint venture",,,,,"321113","247","1005920838","f",,"f",,"t",,"2011841676","2317545309","1795016785","447766812","515805934","399509043","f","[{""id"": ""e871354a-eebd-4aeb-8721-fcc1505be809"", ""name"": ""Shopify Capital Revenue Advance"", ""interestRate"": 11.398844114070364, ""originalDate"": ""2021-12-09T16:44:18.171Z"", ""currentBalance"": 21142131, ""monthlyPayment"": 452522, ""originalAmount"": 24574549, ""termOrMaturationDate"": ""2028-10-29T13:12:53.947Z""}, {""id"": ""768ed7b5-d00c-4e51-aab9-603d9c17423e"", ""name"": ""GE Capital Fleet Vehicle Lease"", ""interestRate"": 10.089719607335422, ""originalDate"": ""2025-03-14T02:10:31.121Z"", ""currentBalance"": 4420154, ""monthlyPayment"": 78092, ""originalAmount"": 11663855, ""termOrMaturationDate"": ""2033-12-12T17:29:53.948Z""}, {""id"": ""b4969016-bf95-497e-94fe-4c71a7f2af7a"", ""name"": ""Fastenal Industrial Supplier Credit"", ""interestRate"": 3.991640421577895, ""originalDate"": ""2017-02-10T04:25:46.147Z"", ""currentBalance"": 4270417, ""monthlyPayment"": 73516, ""originalAmount"": 49081659, ""termOrMaturationDate"": ""2029-10-02T20:50:51.858Z""}]","f","[{""id"": ""92d999b0-b790-4f4e-9514-34bc90d24b4d"", ""name"": ""US Bank Business Leverage Visa"", ""balance"": 2333045}]","123456789","Raulland","IA","t","f2cfefbd-80d8-415f-8af8-e256e5e98ade","wty3drj4f7392a7qgewpj","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","fe0d4896-85e4-422a-8257-76c548234156","f","2025-09-30 08:43:37.396+00",,"f",,,,"f","f",,"67.37","{authorizedSigner,beneficialOwner,controlPerson}"
"f","Swaniawski, Zboncak and Heller","LLC",,,,,"561740","208","659707776","f",,"f",,"t",,"1319415552","1216308042","985515002","184730346","170294344","137981190","f","[{""id"": ""5347699c-998b-4d17-95e8-04204309f89e"", ""name"": ""Caterpillar Heavy Machinery Lease"", ""interestRate"": 5.8380751882139545, ""originalDate"": ""2019-03-20T01:13:23.076Z"", ""currentBalance"": 418494, ""monthlyPayment"": 6395, ""originalAmount"": 7322226, ""termOrMaturationDate"": ""2033-07-06T02:09:48.984Z""}, {""id"": ""c5ed1c7d-8616-4166-8ec3-56547fbbc98d"", ""name"": ""Pending Lawsuit Settlement Debt"", ""interestRate"": 3.7625386727803165, ""originalDate"": ""2022-12-12T05:38:29.918Z"", ""currentBalance"": 12487638, ""monthlyPayment"": 1079791, ""originalAmount"": 24310490, ""termOrMaturationDate"": ""2026-09-08T21:13:52.528Z""}, {""id"": ""51458e93-c007-4fa8-ba32-773f29cd7b75"", ""name"": ""Regulatory Fine Payment Agreement"", ""interestRate"": 4.297518223387199, ""originalDate"": ""2019-11-01T08:18:40.596Z"", ""currentBalance"": 7700274, ""monthlyPayment"": 669266, ""originalAmount"": 46206429, ""termOrMaturationDate"": ""2026-01-20T22:22:16.287Z""}]","f","[{""id"": ""dfd7964f-1934-482d-8388-a3539f2e00f3"", ""name"": ""Bank of America Business Advantage Credit Card"", ""balance"": 4581930}, {""id"": ""c12c95d8-e59b-41d6-9c66-f09ebe71cbac"", ""name"": ""Brex Business Credit Card"", ""balance"": 1405157}, {""id"": ""5a976f5b-dda3-449f-85d2-af0437c919c2"", ""name"": ""Capital One Spark Business Credit Card"", ""balance"": 2767553}]","123456789","North Laurianestad","LA","t","9b9325c4-a850-4415-9806-4f461e3466f4","i7z1cith9xph1xfrn39rs","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","8215427c-8d55-4bb4-a56d-978bc062848a","f","2025-09-19 22:46:20.023+00",,"f",,,,"f","f",,"96.56","{authorizedSigner,beneficialOwner,controlPerson}"
"t","Schmitt, Lang and Powlowski","Partnership",,,,,"611420","114","614520192","f",,"f",,"t",,"1229040384","1569552435","2037028652","320743146","409606707","531604157","t","[]","f","[{""id"": ""55643fb2-de88-4aa6-a85f-de92e04982ce"", ""name"": ""American Express Business Platinum Card"", ""balance"": 1079211}, {""id"": ""886ad5f1-1dcb-4bdd-8ef9-a0d0cfede716"", ""name"": ""Discover It Business Card"", ""balance"": 3810525}, {""id"": ""dab73957-fd8b-4ace-ac3c-c2643dc184f2"", ""name"": ""CitiBusiness AAdvantage Platinum Card"", ""balance"": 2786796}, {""id"": ""6502ff04-379c-41d2-8187-c9cc722df349"", ""name"": ""Discover It Business Card"", ""balance"": 1650753}]","123456789","O'Connerboro","RI","t","597502dd-42e6-4c2b-9c9a-b92c2a8d3cf1","pmt30hfybdqfe6dpq3288","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","c7876955-c33d-4786-aabf-1049d8dbb945","f","2025-10-06 11:08:35.557+00",,"f",,,,"f","f",,"66.70","{authorizedSigner,beneficialOwner,controlPerson}"
"f","Hills and Sons","Partnership",,,,,"424710","293","2362058176","f",,"f",,"t",,"5859471135","4288756504","3699049743","1359040421","994730294","857954243","f","[{""id"": ""2e95455f-8194-41f3-a36a-9c7cd6a1c43a"", ""name"": ""Grainger Trade Credit (Net-60 Terms)"", ""interestRate"": 4.585280276504493, ""originalDate"": ""2020-03-19T18:19:22.425Z"", ""currentBalance"": 6155045, ""monthlyPayment"": 151749, ""originalAmount"": 10027683, ""termOrMaturationDate"": ""2029-04-03T07:49:22.571Z""}]","f","[{""id"": ""816a0339-2305-4195-83ec-9b24229d29df"", ""name"": ""Chase Ink Business Credit Card"", ""balance"": 1661240}, {""id"": ""dad9eee2-2221-47e9-9520-e25b36946f7d"", ""name"": ""Bank of America Business Advantage Credit Card"", ""balance"": 1376474}]","123456789","Libbymouth","NM","t","1ceecd2b-ddcf-4166-af4d-cdff90fcd6cb","s55ab1zmmsumgbx89ttdl","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","44cbf4ef-cfbc-40a2-ac9b-f52da268fd54","f","2025-10-05 02:04:35.524+00",,"f",,,,"f","f",,"28.84","{authorizedSigner,beneficialOwner,controlPerson}"
"f","Feil Group","Franchise",,,,,"541820","203","793858601","t","Accendo armarium adfero. Carmen cura depopulo sodalitas fuga ara cena derideo. Turba venustas inflammatio defetiscor.","f",,"t",,"1587717201","1413046518","1008541827","617435021","549508695","392204005","t","[]","f","[{""id"": ""48b7d9c0-bb85-444d-b91e-1dc674e9381c"", ""name"": ""Chase Ink Business Credit Card"", ""balance"": 4120083}, {""id"": ""d8b6b709-bae4-415e-824a-bfa0b26c7143"", ""name"": ""American Express Business Platinum Card"", ""balance"": 4101152}, {""id"": ""17d1a4ea-2c4a-46c4-a66f-476099a3c83a"", ""name"": ""Chase Ink Business Credit Card"", ""balance"": 2244295}]","123456789","Wisozkmouth","IA","t","2cf3c29d-83e7-4f26-9b3c-22741fb39cd6","w8eihrra1xkkemzx1usfp","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","79844289-f8c3-4a7e-83fd-636843351623","f","2025-10-14 17:58:02.914+00",,"f",,,,"f","f",,"71.35","{authorizedSigner,beneficialOwner,controlPerson}"
"f","Kuhlman - Stamm","Nonprofit organization",,,,,"711211","381","1283609384","t","Ventosus adulatio consectetur. Subiungo suadeo aiunt tempore tergeo cohibeo cado adaugeo corrupti reiciendis. Sumo aro inflammatio arguo vilicus adipiscor.","f",,"t",,"2567218767","2442012109","2385172265","375782982","357455548","349135476","f","[{""id"": ""d2d4c84f-c0bd-43db-b127-05c981a674d1"", ""name"": ""Shopify Capital Revenue Advance"", ""interestRate"": 6.042655088125184, ""originalDate"": ""2024-03-02T04:08:28.712Z"", ""currentBalance"": 26057711, ""monthlyPayment"": 372490, ""originalAmount"": 33303238, ""termOrMaturationDate"": ""2026-11-06T15:25:45.165Z""}, {""id"": ""aa331a0e-54ea-45ba-8b29-aae58495916c"", ""name"": ""SBA 7(a) Loan - Capital Growth"", ""interestRate"": 11.033824082674101, ""originalDate"": ""2021-07-09T08:34:29.109Z"", ""currentBalance"": 13284392, ""monthlyPayment"": 343555, ""originalAmount"": 30533432, ""termOrMaturationDate"": ""2028-07-07T23:38:02.206Z""}]","f","[{""id"": ""411f4ffa-45ea-4e56-8fa4-ee93176b5c60"", ""name"": ""Discover It Business Card"", ""balance"": 3874558}, {""id"": ""9127163d-eb88-4de4-ab74-4760afc16090"", ""name"": ""Brex Business Credit Card"", ""balance"": 231739}, {""id"": ""f89cc4e3-0d46-4fab-abee-1f142228e8ad"", ""name"": ""Capital One Spark Business Credit Card"", ""balance"": 134417}]","123456789","Soledadshire","CA","t","98efd244-014e-407b-8ba1-f903500ff080","h4gftl3272mnzxrydzrqi","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","917df6d0-31e5-4900-83bc-0da8fb880632","f","2025-10-03 13:15:06.552+00",,"f",,,,"f","f",,"56.58","{authorizedSigner,beneficialOwner,controlPerson}"
"t","Bosco, Purdy and Auer","Franchise",,,,,"485999","150","909881250","f",,"f",,"t",,"1819762500","2213953007","1685388445","346364295","421392502","320788224","f","[{""id"": ""c60d4d96-f60c-4b56-bc8d-edde272d9381"", ""name"": ""State Sales Tax Delinquency"", ""interestRate"": 5.859901750909245, ""originalDate"": ""2020-07-19T17:54:55.049Z"", ""currentBalance"": 206234, ""monthlyPayment"": 6736, ""originalAmount"": 1677923, ""termOrMaturationDate"": ""2027-11-04T19:11:30.580Z""}, {""id"": ""6e780bde-0020-4689-879b-e1f5fb0905bd"", ""name"": ""Fastenal Industrial Supplier Credit"", ""interestRate"": 7.396789662028751, ""originalDate"": ""2021-04-17T00:53:06.730Z"", ""currentBalance"": 5921376, ""monthlyPayment"": 200982, ""originalAmount"": 6633411, ""termOrMaturationDate"": ""2025-12-11T17:26:34.183Z""}, {""id"": ""367e8ac9-5212-4963-bd17-48e389e23ae4"", ""name"": ""Contract Breach Judgment Debt"", ""interestRate"": 6.44886062824546, ""originalDate"": ""2015-11-18T15:11:09.294Z"", ""currentBalance"": 1307627, ""monthlyPayment"": 22594, ""originalAmount"": 4631004, ""termOrMaturationDate"": ""2026-10-17T19:53:19.692Z""}, {""id"": ""480d9e12-922c-4823-8a4a-1d048ccf8be1"", ""name"": ""Shopify Capital Revenue Advance"", ""interestRate"": 3.528404464847749, ""originalDate"": ""2020-06-22T11:11:34.079Z"", ""currentBalance"": 513440, ""monthlyPayment"": 7622, ""originalAmount"": 28426539, ""termOrMaturationDate"": ""2030-12-06T14:16:44.042Z""}, {""id"": ""6036e8ff-e4f6-4538-8995-fa57705066c8"", ""name"": ""Unpaid Corporate Income Tax"", ""interestRate"": 7.914571365222444, ""originalDate"": ""2023-09-02T21:25:04.337Z"", ""currentBalance"": 110060, ""monthlyPayment"": 1745, ""originalAmount"": 6445861, ""termOrMaturationDate"": ""2032-02-25T10:15:06.037Z""}]","f","[{""id"": ""008e23b7-bac6-4602-ba9a-d6584d810043"", ""name"": ""Bank of America Business Advantage Credit Card"", ""balance"": 117709}, {""id"": ""76e22f2d-447f-4cd6-8636-fa9197445a61"", ""name"": ""CitiBusiness AAdvantage Platinum Card"", ""balance"": 558507}, {""id"": ""b52cc2d9-efb6-4978-8142-d9fad5bb4908"", ""name"": ""Chase Ink Business Credit Card"", ""balance"": 2973138}]","123456789","South Emile","KY","t","f568093f-1d5b-44e5-ba31-69548b25cd90","646o4l8bk5xte6wk9f4pt","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","fce04f4f-9a39-478c-8186-d40b1bd04eb8","f","2025-10-11 23:53:19.133+00",,"f",,,,"f","f",,"52.17","{authorizedSigner,beneficialOwner,controlPerson}"
"t","D'Amore - Rosenbaum","C Corporation",,,,,"332439","166","1431616038","f",,"f",,"t",,"2863232076","2891333065","2798716870","372027931","375679173","363645286","f","[{""id"": ""7ccf5b56-6491-4d2b-bcd1-f65fee0cc289"", ""name"": ""SBA 504 Loan - Real Estate Financing"", ""interestRate"": 11.653190239537766, ""originalDate"": ""2019-11-09T08:22:06.825Z"", ""currentBalance"": 8567284, ""monthlyPayment"": 172439, ""originalAmount"": 22063712, ""termOrMaturationDate"": ""2028-03-29T00:28:50.366Z""}, {""id"": ""4d6f1ab7-832d-4245-b11b-5f7158c3d449"", ""name"": ""Shopify Capital Revenue Advance"", ""interestRate"": 3.2776598517546462, ""originalDate"": ""2023-08-21T09:06:15.004Z"", ""currentBalance"": 12095431, ""monthlyPayment"": 201029, ""originalAmount"": 18914490, ""termOrMaturationDate"": ""2029-12-16T02:17:54.265Z""}, {""id"": ""176f8fbf-c33f-4470-acbf-954c541bbae4"", ""name"": ""Office Depot Vendor Credit"", ""interestRate"": 9.76222344642064, ""originalDate"": ""2022-10-27T21:03:25.453Z"", ""currentBalance"": 11213088, ""monthlyPayment"": 402695, ""originalAmount"": 26860015, ""termOrMaturationDate"": ""2026-12-18T19:15:16.825Z""}]","f","[{""id"": ""5aa3a518-fa56-4c55-8367-fb43ba76c946"", ""name"": ""Chase Ink Business Credit Card"", ""balance"": 4112887}, {""id"": ""1f370887-9a72-4dd3-8d50-18cb56d9045c"", ""name"": ""Bank of America Business Advantage Credit Card"", ""balance"": 1257309}, {""id"": ""acecc96c-5d81-470a-bb55-fc73f2f50047"", ""name"": ""Stripe Corporate Business Card"", ""balance"": 1005579}, {""id"": ""e0d037a4-4ce7-4108-b974-7eee0e60dd5f"", ""name"": ""Wells Fargo Business Elite Card"", ""balance"": 1665934}, {""id"": ""b9b3460b-13b6-477c-968d-77000a1851a7"", ""name"": ""American Express Business Platinum Card"", ""balance"": 2017728}]","123456789","North Minahaven","CT","t","534ee844-c050-4ed0-b6bf-c4a2aa5238fa","w97ie3sdt1k643rwj6c5w","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","cadf697d-49a9-48e4-929d-99831d647995","f","2025-10-16 10:09:49.938+00",,"f",,,,"f","f",,"21.38","{authorizedSigner,beneficialOwner,controlPerson}"
"f","Conroy Inc","Sole proprietorship",,,,,"621340","500","4555201750","f",,"f",,"t",,"9110403500","7167650542","5338455491","3373526114","2654136700","1976797077","f","[{""id"": ""53dc7ecf-8861-4b3b-9545-916cf857d044"", ""name"": ""Caterpillar Heavy Machinery Lease"", ""interestRate"": 9.718850740300967, ""originalDate"": ""2019-09-23T07:05:26.599Z"", ""currentBalance"": 34980963, ""monthlyPayment"": 647697, ""originalAmount"": 36785543, ""termOrMaturationDate"": ""2033-04-14T03:09:10.359Z""}]","f","[{""id"": ""6834af81-96ba-45ab-bdb5-2dbcd07b3cdc"", ""name"": ""Wells Fargo Business Elite Card"", ""balance"": 3119500}, {""id"": ""1f864fa0-86a7-44fa-960b-6604bdaf9a67"", ""name"": ""Wells Fargo Business Elite Card"", ""balance"": 4055764}]","123456789","East Rowenaport","AK","t","85c11ea3-73f1-4362-b2be-688bce26d74e","x93xkabipvx9sufznxmvz","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","64d2d507-f4a3-4ced-8c14-7a4c0a669e9c","f","2025-09-13 08:30:07.089+00",,"f",,,,"f","f",,"59.64","{authorizedSigner,beneficialOwner,controlPerson}"
